text,address,place,lon,lat
Holy Family Church,"584 W Broad St Columbus, OH 43215",Columbus,-83.016625199999993,39.9605834
Gates Fourth United,"119 E Gates St Columbus, OH 43206",Columbus,-82.9926397,39.93747279999999
Karl Road Christian Church,"5400 Karl Rd Columbus, OH 43229",Columbus,-82.9752733,40.07825680000001
Glenwood United Methodist Church,"2833 Valleyview Dr Columbus, OH 43204",Columbus,-83.07775590000001,39.9621039
Rhema Christian Center,"3426 Corban Commons Dr Columbus, OH 43219",Columbus,-82.9211201,40.0219001
New Birth Christian Ministry,"3475 Refugee Rd Columbus, OH 43232",Columbus,-82.9038439,39.91574780000001
Bethany Lutheran Church,"1000 Noe Bixby Rd Columbus, OH 43213",Columbus,-82.84916969999999,39.9593459
Calvary Bible Church,"3865 N High St Columbus, OH 43214",Columbus,-83.0191432,40.0409326
Discovery Church,"750 Cross Pointe Rd Ste L Columbus, OH 43230",Columbus,-82.83358799999999,39.996734
Fellowship Counseling Center,"6720 Shier Rings Rd, Dublin, OH 43016",Columbus,-83.1725759,40.0950538
Grace Evangelical Lutheran Church,"100 E Schrock Rd, Westerville, OH 43081",Columbus,-82.9214983,40.110033
Pilgrim Missionary Baptist Church,"26 N 21st St,  Columbus, OH 43203",Columbus,-82.972073,39.966019
Rhema Christian Center,"2100 Agler Rd,  Columbus, OH 43224",Columbus,-82.955953,40.0274945
St Peter Church,"6899 Smoky Row Rd,  Columbus, OH 43235",Columbus,-83.06558410000001,40.1060137
Christ Lutheran Church,"2314 E Main St,  Columbus, OH 43209",Columbus,-82.5444638,39.7174511
St Catharine Church,"500 S Gould Rd,  Columbus, OH 43209",Columbus,-82.9231795,39.9606994
Jersey Baptist Church,"13260 Morse Rd SW, New Albany, OH 43054",Columbus,-82.73698999999999,40.0543008
Gospel Tabernacle United Holy Church,"1205 Hildreth Ave,  Columbus, OH 43203",Columbus,-82.969639,39.973434
David's United Church Of Christ,"80 W Columbus St, Canal Winchester, OH 43110",Columbus,-82.8084895,39.84181450000001
Meadow Park Children's Ctr,"2425 Bethel Rd Columbus, OH 43220",Columbus,-83.08492199999999,40.063851
St Andrew Presbyterian Church,"1450 E Dublin Granville Rd Columbus, OH 43229",Columbus,-82.9783389,40.0882043
New Beginnings Assembly Of God,"492 Williams Rd Columbus, OH 43207",Columbus,-82.982832,39.8916291
Shiloh Baptist Church,"720 Mount Vernon Ave Columbus, OH 43203",Columbus,-82.982664,39.9708662
Trinity Assembly of God,"1112 Demorest Rd Columbus, OH 43204",Columbus,-83.0893583,39.93075930000001
Charisma Life Ministries,"161 N Hamilton Rd Columbus, OH 43213",Columbus,-82.874303,39.979739
Living Word Bible Fellowship,"1375 S Hamilton Rd Columbus, OH 43227",Columbus,-82.8778643,39.9469997
New Beginning Christian Center,"3424 S Hamilton Rd Columbus, OH 43232",Columbus,-82.88038999999999,39.907217
Newman Center OSU,"64 W Lane Ave Columbus, OH 43201",Columbus,-83.0110431,40.0064229
Walk Of Faith Christian Center,"2091 Dartmouth Ave Columbus, OH 43219",Columbus,-82.94801319999999,39.9827702
Centenary United Methodist Church,"2048 Denune Ave Columbus, OH 43211",Columbus,-82.95641499999999,40.0219793
Christian Center Church,"298 Rocky Fork Dr Columbus, OH 43230",Columbus,-82.87125549999999,40.0102578
Victory Deliverance Church,"1718 Myrtle Ave Columbus, OH 43211",Columbus,-82.96447979999999,40.0172849
Faith Ministries Church,"2747 Agler Rd Columbus, OH 43224",Columbus,-82.9399159,40.0257271
Life Church At Easton,"5000 Sunbury Rd Columbus, OH 43230",Columbus,-82.916879,40.061561
New Vision Church Of Columbus,"2965 E Dublin Granville Rd Columbus, OH 43231",Columbus,-82.9378035,40.0810761
Hosack Street Baptist Church,"1160 Watkins Rd Columbus, OH 43207",Columbus,-82.96399699999999,39.905874
Gospel Tabernacle United Holy Church,"1205 Hildreth Ave Columbus, OH 43203",Columbus,-82.969639,39.973434
Bethesda Baptist Church,"3434 Watkins Rd Columbus, OH 43207",Columbus,-82.90440029999999,39.9034356
Our Lady Of The Miraculous Medal,"5225 Refugee Rd Columbus, OH 43232",Columbus,-82.8503478,39.9202872
Amazing Grace Baptist Church,"1288 W Broad St Columbus, OH 43222",Columbus,-83.0349209,39.9582515
High Street Baptist Church,"7399 N High St Columbus, OH 43235",Columbus,-83.0181368,40.11418949999999
West Broad Church of Christ,"3361 W Broad St Columbus, OH 43204",Columbus,-83.09007,39.9539
First Congregational Church UCC,"444 E Broad St Columbus, OH 43215",Columbus,-82.9888782,39.9642168
Jordan Bible Church,"1825 Woodland Ave Columbus, OH 43219",Columbus,-82.9546087,40.0058747
New Life Church,"3690 N Stygler Rd Columbus, OH 43230",Columbus,-82.88760490000001,40.0325318
Christ Church Anglican,"43 W 4th Ave Columbus, OH 43201",Columbus,-83.0064034,39.9849403
Lighthouse Ministries,"2295 S High St Columbus, OH 43207",Columbus,-82.9959315,39.9140015
Northwest Christian Church,"1340 Fishinger Rd Columbus, OH 43221",Columbus,-83.0488136,40.0244132
Christian Life Fellowship,"830 Morrison Rd Columbus, OH 43230",Columbus,-82.85489559999999,39.9953283
Trinity Baptist Church,"461 Saint Clair Ave Columbus, OH 43203",Columbus,-82.98035639999999,39.97367080000001
Bethany Baptist Church,"959 Bulen Ave Columbus, OH 43206",Columbus,-82.9523823,39.9475881
Memorial Baptist Church,"2435 Eakin Rd Columbus, OH 43204",Columbus,-83.0625646,39.935749
Mt Lebanon Baptist Church,"1775 Eddystone Ave Columbus, OH 43224",Columbus,-82.9651518,40.0284128
Immanuel Baptist Church,"3417 Palmetto St Columbus, OH 43204",Columbus,-83.090924,39.9484796
Westgate Bapt Church SBC,"4234 Clime Rd N Columbus, OH 43228",Columbus,-83.109392,39.9348726
Liberty Hill Baptist Church,"4410 Refugee Rd Columbus, OH 43232",Columbus,-82.8794563,39.9160088
Columbus United Baptist Church,"6046 Taylor Rd Columbus, OH 43230",Columbus,-82.83860899999999,40.003884
St Stephen's Episcopal Church,"30 W Woodruff Ave Columbus, OH 43210",Columbus,-83.0095576,40.0040876
Hoge Memorial Presbyterian Church,"2930 W Broad St Columbus, OH 43204",Columbus,-83.0789084,39.9552219
Fairmoor Presbyterian Church,"360 S James Rd Columbus, OH 43213",Columbus,-82.913743,39.964368
Presbytery Of Scioto Valley,"6230 Busch Blvd Ste 250 Columbus, OH 43229",Columbus,-82.99166269999999,40.0932904
Catholic Conference Of Ohio,"9 E Long St Ste 201 Columbus, OH 43215",Columbus,-83.0005073,39.9648005
Thurman Avenue United First United,"415 Thurman Ave Columbus, OH 43206",Columbus,-82.9847358,39.9389462
Valley View Church Of Christ,"455 Murray Ave Columbus, OH 43204",Columbus,-83.0682889,39.9647409
Apostolic Church Of Christ,"3431 E Main St Columbus, OH 43213",Columbus,-82.906618,39.956058
St Timothy Catholic Church,"1088 Thomas Ln Columbus, OH 43220",Columbus,-83.0455928,40.0339818
Whitehall United Methodist Church,"525 Bernhard Rd Columbus, OH 43213",Columbus,-82.8802091,39.9640497
Asbury United Methodist Church South,"4760 Winchester Pike Columbus, OH 43232",Columbus,-82.8723907,39.8959169
Linworth United Methodist Church,"7070 Bent Tree Blvd Columbus, OH 43235",Columbus,-83.080699,40.0987926
St Thomas The Apostle,"2692 David Harris Ave Columbus, OH 43217",Columbus,-82.9377599,39.8197626
St John Evangelical Lutheran Church,"2745 W Broad St Columbus, OH 43204",Columbus,-83.0734679,39.9546135
New Fellowship Bapt Church,"3420 Petzinger Rd Columbus, OH 43232",Columbus,-82.901738,39.928786
Reformation Lutheran Church,"1355 S Hamilton Rd Columbus, OH 43227",Columbus,-82.87828789999999,39.9470369
